Step:325         avg_loss:169.3660889    counting:81.0000010     predict:2922.1398926
Step:326         avg_loss:157.9129944    counting:195.0000276    predict:2896.8684082
Step:327         avg_loss:161.6358337    counting:96.0000007     predict:2866.6594238
Step:328         avg_loss:159.3777466    counting:90.0000053     predict:2845.6936035
Step:329         avg_loss:145.8280029    counting:287.0000084    predict:2820.2827148
Step:330         avg_loss:152.4741669    counting:172.0000077    predict:2808.9877930
Step:331         avg_loss:154.6026001    counting:56.0000004     predict:2777.5939941
Step:332         avg_loss:154.4327393    counting:276.0000076    predict:2758.2509766
Step:333         avg_loss:145.3707581    counting:97.0000025     predict:2729.7749023
Step:334         avg_loss:153.6903381    counting:20.9999996     predict:2723.3837891
Step:335         avg_loss:149.8301697    counting:31.9999995     predict:2687.5852051
Step:336         avg_loss:137.5848694    counting:115.0000073    predict:2667.2172852
Step:337         avg_loss:139.0716858    counting:64.9999983     predict:2644.8542480
Step:338         avg_loss:135.6310120    counting:335.0000115    predict:2622.7968750
Step:339         avg_loss:133.4236755    counting:84.0000008     predict:2601.9179688
Step:340         avg_loss:129.8141785    counting:101.0000020    predict:2582.3740234
Step:341         avg_loss:131.4064636    counting:42.9999995     predict:2555.6206055
Step:342         avg_loss:154.4871521    counting:265.9999813    predict:2536.8334961
Step:343         avg_loss:123.5038910    counting:156.0000114    predict:2519.2531738
Step:344         avg_loss:126.7004929    counting:30.0000004     predict:2496.5922852
Step:345         avg_loss:119.7423019    counting:85.0000024     predict:2473.7419434
Step:346         avg_loss:117.2069855    counting:93.9999997     predict:2454.9824219
Step:347         avg_loss:115.3849335    counting:88.9999996     predict:2433.3327637
Step:348         avg_loss:118.3666840    counting:201.0000134    predict:2415.6564941
Step:349         avg_loss:109.2115479    counting:185.0000250    predict:2401.4685059
Step:350         avg_loss:170.7967224    counting:520.9999555    predict:2382.5673828
Step:351         avg_loss:113.7363510    counting:23.0000003     predict:2360.8117676
Step:352         avg_loss:107.2333984    counting:125.0000001    predict:2341.3613281
Step:353         avg_loss:104.0646057    counting:138.0000055    predict:2322.4765625
Step:354         avg_loss:103.8110199    counting:211.0000088    predict:2303.7736816
Step:355         avg_loss:100.9435272    counting:144.0000089    predict:2285.8259277
Step:356         avg_loss:103.3980408    counting:38.9999995     predict:2266.0656738
Step:357         avg_loss:102.0881348    counting:300.0000044    predict:2249.1228027
Step:358         avg_loss:101.1244202    counting:25.0000004     predict:2230.5056152
Step:359         avg_loss:98.5891113     counting:39.9999998     predict:2213.1965332
Step:360         avg_loss:97.6744156     counting:27.9999997     predict:2192.6284180
Step:361         avg_loss:95.2665710     counting:268.0000007    predict:2176.2160645
Step:362         avg_loss:96.5337906     counting:191.0000000    predict:2159.0505371
Step:363         avg_loss:84.8826294     counting:157.0000141    predict:2141.7192383
Step:364         avg_loss:86.0898514     counting:114.0000071    predict:2124.4079590
Step:365         avg_loss:87.4929810     counting:60.9999979     predict:2106.6342773
Step:366         avg_loss:98.5133209     counting:174.9999963    predict:2090.0058594
Step:367         avg_loss:84.0011368     counting:114.0000035    predict:2072.7807617
Step:368         avg_loss:83.7176895     counting:52.9999981     predict:2055.5476074
Step:369         avg_loss:81.5930328     counting:70.0000010     predict:2038.5312500
Step:370         avg_loss:82.3027191     counting:35.0000001     predict:2021.4591064
Step:371         avg_loss:84.1186752     counting:234.0000028    predict:2006.1749268
Step:372         avg_loss:79.1258392     counting:40.9999994     predict:1989.3868408
Step:373         avg_loss:77.5370636     counting:45.9999996     predict:1972.8549805
Step:374         avg_loss:75.7610321     counting:70.0000018     predict:1956.6822510
Step:375         avg_loss:75.8290176     counting:32.0000001     predict:1940.3779297
Step:376         avg_loss:70.8959961     counting:217.0000194    predict:1925.7236328
Step:377         avg_loss:72.7212677     counting:42.0000005     predict:1909.7385254
Step:378         avg_loss:70.5707855     counting:59.9999983     predict:1894.0689697
